6.367479999999999807e-01 -4.152500000000000080e-01 1.180049999999999988e-01
6.241640000000000521e-01 -4.268230000000000079e-01 1.542090000000000127e-01
6.146509999999999474e-01 -4.379660000000000220e-01 1.862429999999999919e-01
6.069630000000000303e-01 -4.473909999999999831e-01 2.129429999999999934e-01
6.004819999999999602e-01 -4.540870000000000184e-01 2.330230000000000079e-01
5.949079999999999924e-01 -4.575440000000000063e-01 2.458029999999999937e-01
5.900990000000000402e-01 -4.578360000000000207e-01 2.515789999999999971e-01
5.860389999999999766e-01 -4.554150000000000142e-01 2.512769999999999726e-01
5.827200000000000157e-01 -4.508550000000000058e-01 2.459959999999999924e-01
5.801420000000000465e-01 -4.447010000000000129e-01 2.368069999999999897e-01
5.782620000000000537e-01 -4.374890000000000168e-01 2.247949999999999948e-01
5.770199999999999774e-01 -4.297690000000000121e-01 2.111010000000000109e-01
5.763279999999999514e-01 -4.220599999999999907e-01 1.968419999999999892e-01
5.761030000000000317e-01 -4.148020000000000040e-01 1.829409999999999925e-01
5.762589999999999657e-01 -4.082709999999999950e-01 1.700450000000000017e-01
5.767259999999999609e-01 -4.025889999999999747e-01 1.584720000000000018e-01
