5.954110000000000014e+00 -2.953310000000000102e-01 4.039329999999999643e+00 -1.452439999999999953e+00 4.102759999999999740e-01 4.862250000000000405e+00
6.066889999999999894e+00 -3.529379999999999740e-01 4.210689999999999600e+00 -1.481700000000000017e+00 1.046429999999999999e-01 5.471809999999999619e+00
6.169520000000000337e+00 -4.161460000000000159e-01 4.413129999999999775e+00 -1.513649999999999940e+00 -2.996320000000000094e-01 6.253779999999999895e+00
6.262769999999999726e+00 -4.805880000000000152e-01 4.656279999999999752e+00 -1.549029999999999907e+00 -8.106529999999999569e-01 7.232660000000000089e+00
6.345480000000000231e+00 -5.424069999999999725e-01 4.947160000000000224e+00 -1.586340000000000083e+00 -1.432290000000000063e+00 8.421549999999999869e+00
6.415589999999999904e+00 -5.991030000000000522e-01 5.286839999999999762e+00 -1.623520000000000074e+00 -2.160969999999999835e+00 9.815490000000000492e+00
6.471020000000000216e+00 -6.496020000000000127e-01 5.670930000000000248e+00 -1.658760000000000012e+00 -2.986240000000000006e+00 1.139380000000000059e+01
6.510950000000000237e+00 -6.936890000000000001e-01 6.092430000000000234e+00 -1.690639999999999921e+00 -3.893240000000000034e+00 1.312669999999999959e+01
6.535190000000000055e+00 -7.310229999999999784e-01 6.544579999999999842e+00 -1.717950000000000088e+00 -4.865990000000000038e+00 1.498349999999999937e+01
6.545209999999999972e+00 -7.613220000000000542e-01 7.022170000000000023e+00 -1.739889999999999937e+00 -5.889400000000000190e+00 1.693649999999999878e+01
6.543180000000000440e+00 -7.846889999999999699e-01 7.521589999999999776e+00 -1.755589999999999984e+00 -6.950809999999999711e+00 1.896280000000000143e+01
6.531659999999999577e+00 -8.021300000000000097e-01 8.040089999999999293e+00 -1.763800000000000034e+00 -8.040139999999999176e+00 2.104339999999999833e+01
6.513239999999999696e+00 -8.152580000000000382e-01 8.575250000000000483e+00 -1.763509999999999911e+00 -9.149889999999999191e+00 2.316359999999999886e+01
6.490260000000000140e+00 -8.260049999999999892e-01 9.125450000000000728e+00 -1.754010000000000069e+00 -1.027529999999999966e+01 2.531200000000000117e+01
6.464830000000000076e+00 -8.361319999999999864e-01 9.688700000000000756e+00 -1.735179999999999945e+00 -1.141269999999999918e+01 2.748110000000000142e+01
6.438620000000000232e+00 -8.472190000000000554e-01 1.026389999999999958e+01 -1.707060000000000022e+00 -1.256070000000000064e+01 2.966679999999999851e+01
